image_path,case_id,label,split
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0001.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0002.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0003.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0004.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0005.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0006.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0007.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0008.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0009.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0010.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0011.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0012.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0013.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0014.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0015.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0016.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0017.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0018.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0019.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0020.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0021.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0022.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0023.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0024.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0025.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0026.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0027.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0028.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0029.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0030.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0031.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0032.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0033.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0034.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0035.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0036.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0037.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0038.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0039.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0040.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0041.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0042.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0043.jpg,Positive/case1,1,train
C:\Coding Notes\Final-Dissertation\datasets\Positive\case1\case_M_20181001100941_0U62372100109341_1_005_001-1_a2_ayy_image0044.jpg,Positive/case1,1,train
